Category,Typical Questions,Chatbot Response,Source
ID Card Collection,Where do I collect my ID Card from?,Will be sent to posted location in 10-12 working days,CRES
IT & Access,"My email id has not been created yet, what do I do?",If your email id is not created in 24 hours post joining please contact your TARM.,IT team
Apps & Attendance,How to install Intune/OneAxis?,Install Intune from Play/App Store using AD credentials; then OneAxis.,One Axis
,Cannot mark attendance till mandatory declarations are completed. What do I do?," Post completion of mandatory declarations, regularize your attendance for the previous days. ",
Mandatory Declarations,By when do I need to complete Mandatory Declarations?,Within 10 days of joining,One Axis
,I am not able to complete my mandatory declarations because of non-submission of PF declaration. What do I do? ,If you are unable to complete PF declaration due to name mismatch in the system and you Aadhar contact your HRRM. ,
Payroll & Salary Account,When can I open my salary account?,Please start your digital journey to open the staff salary account from Day 3 of your joining.,Fusion
,How do I open my salary account?,"VCIP (Chrome only) → [https://apollo.axis.bank.in/]. If error, request Swagat Card from HR to open/convert manually.                             Before proceeding, please note the following:
▪ Name should be same as per your Aadhaar and PAN details.
▪ While initiating the digital journey, you should be carrying your original PAN card 
▪ You will get an OTP for the online journey completion on the mobile number linked to Aadhaar.
▪ In case, you face any error in VCIP, please mail for the “Swagat card” and process the account opening manually without any further delay.",
Nomination Declaration,Where do I complete my nomination declarations?,10 days post joining visit TSR Darashaw (https://ess.tsrdarashaw.com/payroll/ess/login/axisbank) >> Retiral Benefits >> Nominations,TSR Darashaw
Mediclaim Enrollment,Where do I enroll for mediclaim?,One Axis >> Health & Wellness OR Visit App,Visit App
Pending Documents,Submission of Relieving Letter,"Submit your relieving letter within 60 days of joining, non-submission post which will result in salary hold. Contact your HR in case of any queries.",RippleHire
,Other Documents,Contact your HR for guidance,
General HR & Policies,Where can I read the policies?,Visit One Axis >> Policies >> One Axis,
