SKILL_ID,CREATED_AT,CREATED_BY,DELETED_AT,DELETED_BY,IS_DELETED,MAPPING,ROLE_NAME,SKILL_CATEGORY,SKILL_DESCRIPTION,SKILL_NAME,SKILL_BUCKET,SIMILAR_SKILL_IDS,LIGHTCAST_ID
57,,,,,0,Specialized Skill,,Accounting and Finance Software,"Chargify is a billing platform designed for businesses to automate their recurring and subscription-based billing processes. The platform allows businesses to create and manage products or services, set up flexible and customizable billing plans, and view real-time customer data and transactions. Chargify also provides a range of integrations with third-party applications, making it easier for businesses to manage their customer relationships and invoicing.",Chargify (Billing Platform),technical,,
4,,,,,0,Specialized Skill,,Account Management,"Account development is the process of building stronger relationships with existing clients by identifying their needs, understanding their goals, and creating solutions tailored to their needs. It requires specialized knowledge and skills in communication, negotiation, and relationship-building. The goal of account development is to increase the value of existing client relationships and generate repeat business.",Account Development,technical,,
74,,,,,0,Specialized Skill,,Accounting and Finance Software,"Microsoft Forecaster is a financial planning and budgeting software that includes features for forecasting financial performance, creating budgets, and generating financial reports. It is designed for businesses of all sizes and integrates easily with other Microsoft applications such as Excel and Dynamics GP. With Microsoft Forecaster, users can streamline their financial planning processes, improve accuracy, and make more informed business decisions. It requires specialized skill to operate effectively.",Microsoft Forecaster,technical,,
79,,,,,0,Specialized Skill,,Accounting and Finance Software,"Oracle Financial Services Applications (OFSA) is a suite of pre-built software applications for financial institutions to manage their financial and risk-related activities. This includes modules for general ledger, accounting, budgeting, forecasting, asset and liability management, and risk management. OFSA is designed to help financial institutions reduce the cost and complexity of managing financial data, improve accuracy and timeliness of financial reporting, and comply with regulatory requirements. It is built on top of the Oracle database platform and can be customized to meet specific needs.",Oracle Financial Services Applications (OFSA),technical,,
85,,,,,0,Specialized Skill,,Accounting and Finance Software,"PeopleSoft Enterprise Receivables is a specialized software skill that involves working with software systems to manage and track accounts receivable for a business. This software allows users to process and manage customer payments, track payment history, and generate reports to analyze payment trends and identify areas where improvements can be made. It is an important skill for accounting and finance professionals who need to manage financial transactions and ensure accurate, timely revenue collection.",PeopleSoft Enterprise Receivables,technical,,
90,,,,,0,Specialized Skill,,Accounting and Finance Software,"PeopleSoft Payables refers to a financial management module within the PeopleSoft software suite that facilitates the management of accounts payable processes. This skill encompasses the ability to process vendor invoices, manage payment schedules, and ensure compliance with financial regulations. Knowledge of Peoplesoft Payables is used to streamline financial operations, enhance accuracy in payment processing, and maintain effective vendor relationships through timely and organized financial transactions.",PeopleSoft Payables,technical,,
94,,,,,0,Specialized Skill,,Accounting and Finance Software,"Quicken is an accounting software program designed for personal and small business use. It manages financial accounts, tracks expenses and income, creates customized budgets and reports, and helps with tax preparation. Quicken also has features for investment tracking and property management, making it a versatile tool for managing finances. A specialized skill in Quicken involves being familiar with its various features and how to use them effectively to optimize financial management.",Quicken (Accounting Software),functional,,
95,,,,,0,Specialized Skill,,Accounting and Finance Software,"Sage Accounting Software is a specialized software designed to manage financial transactions and tasks, such as invoicing, budgeting, payroll, and financial reporting. It is mainly used by small and medium-sized businesses to automate their financial management processes, enhance accuracy, and optimize overall productivity. The software offers various features such as cloud-based storage, multiple users access, real-time data analysis, and customizable reports, making it a reliable tool for managing finances.",Sage Accounting Software,functional,,
96,,,,,0,Specialized Skill,,Accounting and Finance Software,"SAP AA (Asset Accounting) is a specialized software skill that involves managing and tracking fixed assets within an organization. It includes tasks such as acquisition, depreciation, retirement, and periodic valuation of assets. SAP AA helps organizations with financial planning, budgeting, and compliance reporting. Proficiency in SAP AA requires knowledge of accounting principles, SAP software modules, and advanced reporting and analysis tools.",SAP AA,technical,,
97,,,,,0,Specialized Skill,,Accounting and Finance Software,"SAP Financial Services is a software platform designed to streamline financial management processes within organizations, such as banking, insurance, and financial planning. The software is capable of managing financial transactions, analyzing performance data, and producing financial reports, all in real time. It enables businesses to improve financial decision-making, reduce costs, and gain a competitive advantage in the marketplace.",SAP Financial Services,technical,,
98,,,,,0,Specialized Skill,,Accounting and Finance Software,"Siebel Finance is a specialized software that is designed to help financial institutions, such as banks and insurance companies, manage their customer data and operations more efficiently. It provides a comprehensive suite of tools for managing customer accounts, tracking transactions, and automating processes such as loan applications and insurance claims. This software allows financial institutions to streamline their operations, reduce costs, and improve customer satisfaction.",Siebel Finance,technical,,
